+--------------+------------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+---------------+---------------+
|  Drop State  |     Expected Value     | Dice Sum = 2 | Dice Sum = 3 | Dice Sum = 4 | Dice Sum = 5 | Dice Sum = 6 | Dice Sum = 7 | Dice Sum = 8 | Dice Sum = 9 | Dice Sum = 10 | Dice Sum = 11 | Dice Sum = 12 |
| 111111000100 |   0.0428583907803265   |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     2 6      |     4 5      |       10      |      1 10     |      2 10     |
| 111111000011 | 0.0031701044331394887  |      2       |      3       |     1 3      |     2 3      |     1 5      |     1 6      |     2 6      |     4 5      |      4 6      |       11      |       12      |
| 111111000010 |  0.025083356795486234  |      2       |      3       |      4       |     2 3      |     2 4      |     2 5      |     2 6      |     3 6      |      4 6      |       11      |      1 11     |
| 111111000001 |  0.01054853102225835   |      2       |     1 2      |     1 3      |     1 4      |     1 5      |     1 6      |     2 6      |     4 5      |      4 6      |      5 6      |       12      |
| 111111000000 |  0.09102470776389099   |      2       |     1 2      |     1 3      |     1 4      |     1 5      |     1 6      |     2 6      |     4 5      |      4 6      |      5 6      |       0       |
| 111110111111 | 0.0019018698513886684  |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |      9       |       10      |       11      |       12      |
| 111110111110 |  0.009657040247881553  |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |      9       |       10      |       11      |      1 11     |
| 111110111101 | 0.0047168603551499665  |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |      9       |       10      |      1 10     |       12      |
| 111110111100 |  0.02582708011177915   |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |      9       |       10      |      1 10     |      2 10     |
| 111110111011 |  0.002982290232801887  |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |      9       |      1 9      |       11      |       12      |
| 111110111010 |  0.017049929791418516  |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |      9       |      1 9      |       11      |      1 11     |
| 111110111001 |  0.007759551375912289  |      2       |      3       |      4       |      5       |     1 5      |      7       |      8       |      9       |      1 9      |      2 9      |       12      |
| 111110111000 |  0.04781887817254565   |      2       |      3       |      4       |      5       |     1 5      |      7       |      8       |      9       |      1 9      |      2 9      |      3 9      |
| 111110110111 |  0.002091912755473545  |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |     1 8      |       10      |       11      |       12      |
| 111110110110 |  0.01203211701262986   |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |     1 8      |       10      |       11      |      1 11     |
| 111110110101 |  0.00574571567494054   |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |     1 8      |       10      |      1 10     |       12      |
| 111110110100 |  0.03598793995358844   |      2       |      3       |      4       |      5       |     1 5      |      7       |      8       |     1 8      |       10      |      1 10     |      2 10     |
| 111110110011 | 0.0033925672157277586  |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |     1 8      |      2 8      |       11      |       12      |
| 111110110010 |  0.02258496398726136   |      2       |      3       |      4       |      5       |     2 4      |      7       |      8       |     1 8      |      2 8      |       11      |      1 11     |
| 111110110001 |  0.009527645303347406  |      2       |      3       |      4       |      5       |     1 5      |      7       |      8       |     1 8      |      2 8      |      3 8      |       12      |
| 111110110000 |  0.06755998593329267   |      2       |      3       |      4       |      5       |     1 5      |      7       |      8       |     1 8      |      2 8      |      3 8      |      4 8      |
| 111110101111 | 0.0016194901233465174  |      2       |      3       |      4       |      5       |     2 4      |      7       |     3 5      |      9       |       10      |       11      |       12      |
| 111110101110 |  0.009407704050755398  |      2       |      3       |      4       |      5       |     2 4      |      7       |     3 5      |      9       |       10      |       11      |      1 11     |
| 111110101101 |  0.004472930861236503  |      2       |      3       |      4       |      5       |     2 4      |      7       |     3 5      |      9       |       10      |      1 10     |       12      |
| 111110101100 |  0.028198723861750406  |      2       |      3       |      4       |      5       |     2 4      |      7       |     3 5      |      9       |       10      |      1 10     |      2 10     |
| 111110101011 |  0.002732060704061814  |      2       |      3       |      4       |      5       |     2 4      |      7       |     3 5      |      9       |      1 9      |       11      |       12      |
| 111110101010 |  0.018043623080925258  |      2       |      3       |      4       |      5       |     2 4      |      7       |     3 5      |      9       |      1 9      |       11      |      1 11     |
| 111110101001 |  0.007802403139922085  |      2       |      3       |      4       |      5       |     2 4      |      7       |     3 5      |      9       |      1 9      |      2 9      |       12      |
| 111110101000 |  0.05576501701270696   |      2       |      3       |      4       |      5       |     2 4      |      7       |     1 7      |      9       |      1 9      |      2 9      |      3 9      |
| 111110100111 |  0.001791823847287963  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |     2 7      |       10      |       11      |       12      |
| 111110100110 |  0.012143823276596084  |      2       |      3       |      4       |      5       |     2 4      |      7       |     3 5      |     2 7      |       10      |       11      |      1 11     |
| 111110100101 |  0.00560745362461449   |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |     2 7      |       10      |      1 10     |       12      |
| 111110100100 |  0.04125071511054379   |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |     2 7      |       10      |      1 10     |      2 10     |
| 111110100011 | 0.0030270584359121393  |      2       |      3       |      4       |     2 3      |     2 4      |     3 4      |     1 7      |     2 7      |      3 7      |       11      |       12      |
| 111110100010 |  0.024230626612361483  |      2       |      3       |      4       |     2 3      |     2 4      |     3 4      |     3 5      |     2 7      |      3 7      |       11      |      1 11     |
| 111110100001 |  0.009776358273425458  |      2       |     1 2      |     1 3      |     1 4      |     1 5      |     3 4      |     1 7      |     2 7      |      3 7      |      4 7      |       12      |
| 111110100000 |  0.08597977156683431   |      2       |     1 2      |     1 3      |     1 4      |     1 5      |     3 4      |     1 7      |     2 7      |      3 7      |      4 7      |      5 7      |
| 111110011111 | 0.0013363868476147984  |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |      9       |       10      |       11      |       12      |
| 111110011110 |  0.007758821552520948  |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |      9       |       10      |       11      |      1 11     |
| 111110011101 | 0.0037304665472924813  |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |      9       |       10      |      1 10     |       12      |
| 111110011100 |  0.02347015461999779   |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |      9       |       10      |      1 10     |      2 10     |
| 111110011011 |  0.00227332792637751   |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |      9       |      1 9      |       11      |       12      |
| 111110011010 |  0.014981269430269145  |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |      9       |      1 9      |       11      |      1 11     |
| 111110011001 |  0.00663169669446556   |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |      9       |      1 9      |      2 9      |       12      |
| 111110011000 |  0.047400072250494404  |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |      9       |      1 9      |      2 9      |      3 9      |
| 111110010111 |  0.001533454133270939  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |      8       |     1 8      |       10      |       11      |       12      |
| 111110010110 |  0.010251055865483341  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |      8       |     1 8      |       10      |       11      |      1 11     |
| 111110010101 |  0.004748994802574509  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |      8       |     1 8      |       10      |      1 10     |       12      |
| 111110010100 |  0.03492825476511033   |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |     1 8      |       10      |      1 10     |      2 10     |
| 111110010011 | 0.0026206747225481176  |      2       |      3       |      4       |      5       |     1 5      |     3 4      |      8       |     1 8      |      2 8      |       11      |       12      |
| 111110010010 |  0.020705768902380507  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |      8       |     1 8      |      2 8      |       11      |      1 11     |
| 111110010001 |  0.008292966963877456  |      2       |      3       |     1 3      |     1 4      |     1 5      |     3 4      |     3 5      |     1 8      |      2 8      |      3 8      |       12      |
| 111110010000 |  0.07261739191180205   |      2       |      3       |     1 3      |     1 4      |     1 5      |     3 4      |     3 5      |     1 8      |      2 8      |      3 8      |      4 8      |
| 111110001111 | 0.0010559173948264402  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |      9       |       10      |       11      |       12      |
| 111110001110 |  0.007272518893991366  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |      9       |       10      |       11      |      1 11     |
| 111110001101 |  0.003318404056239701  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |      9       |       10      |      1 10     |       12      |
| 111110001100 |  0.024673199112178017  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |      9       |       10      |      1 10     |      2 10     |
| 111110001011 | 0.0019137894690776792  |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |      9       |      1 9      |       11      |       12      |
| 111110001010 |   0.0152564413312108   |      2       |      3       |      4       |      5       |     2 4      |     3 4      |     3 5      |      9       |      1 9      |       11      |      1 11     |
| 111110001001 |  0.006059053209810684  |      2       |      3       |      4       |     1 4      |     2 4      |     3 4      |     3 5      |      9       |      1 9      |      2 9      |       12      |
| 111110001000 |  0.052458948288709374  |      2       |      3       |      4       |     1 4      |     2 4      |     3 4      |     3 5      |     4 5      |      1 9      |      2 9      |      3 9      |
